微博发布时间,微博中文内容,情感倾向
01月01日 23:38,#你好2020#新年第一天元气满满的早起出门买早饭结果高估了自己抗冻能力回家成功冻发烧（大概是想告诉我2020要量力而行）然鹅这并不影响后续计划一出门立马生龙活虎新年和新??更配哦??看了误杀吃了大餐就让新的一年一直这样美滋滋下去吧???,0
01月02日 23:09,大宝又感冒鼻塞咳嗽了，还有发烧。队友加班几天不回。感觉自己的情绪在家已然是随时引爆的状态。情绪一上来，容易对孩子说出自己都想不到的话来……2020年，真的要学会控制情绪，管理好家人健康。这是今年最大的目标。?,0
01月03日 23:53,还要去输两天液，这天也太容易感冒发烧了，一定要多喝热水啊?,0
01月03日 23:27,我太难了别人怎么发烧都没事就我一检查甲型流感?,-1
01月04日 19:01,果然是要病一场的喽回来第三天开始感冒今儿还发烧了喉咙眼睛都难受的一匹怎么样能不经意让我的毕设导师看到这条微博并给我放一天假呢?,-1
01月04日 23:22,2019的下半年遇到了很好的室友们老师们同学们也越来越相信自己可能很多人觉得我走路带飞做pre淡定又自信但是好像很多不足这个事实只有自己知道小心翼翼掩盖着觉得只要不提起来就好但是自己骗自己始终是容易的最难的是老师一针见血指出我的问题和我的优点时我才发现我本没有必要遮遮掩掩导师?展开全文c,0
01月06日 20:05,我这种人就活该被病死，发烧两天了，但还是管不住自己的嘴，今天在家躺了一天饭没吃，苹果柚子柑子草莓麻辣洋芋片吃了个遍，就在刚刚我打开了美团，本想点稀饭，结果我点了烧烤?,-1
01月08日 23:54,【孩子感冒发烧要留心】孩子感冒发烧问题不大，但是一旦感冒发烧期间这个孩子出现精神比较差、整天就是吐、整天不睡觉或者整天睡觉、整天烦躁、整天昏昏欲睡等等，家长觉得这孩子跟平常不一样，这种时候一定要及时去看医生。?,0
01月08日 23:14,在哪里存在感都极低的我，感觉要发烧了?,-1
01月09日 16:01,我的天~为啥发烧了我靠……浑身关节疼…真mmp应景哈哈哈哈?,0
01月11日 23:25,#小树成长记录#今天下午发烧37.7，现在体温仍然没有恢复正常，持续观察中。?,0
01月11日 21:42,对一个人失望是什么样子的？应该是你发烧了他还在埋冤你当初问什么不听他的话，而不是守在你身边照顾你对一家人失望是什么样子的？应该是在你最艰难的时候没有人管你，问候你一句累不累终于明白为什么那么多人宁愿成剩女也不愿意结婚生子?,-1
01月09日 23:49,儿子发烧只有我最着急这个点大冬天40℃咋整?,-1
01月12日 23:13,恋家的宝贝//@1215theCloudsilent_云默:回家就好了,1
01月13日 23:00,呵呵，南开大学校长曹雪涛学术造假事件和饶毅实名举报三位大咖的学术造假事件都跨年了，也没个说法，这居然又来了一个学术不端,-1
01月12日 22:56,昨天有一条小鱼??自己跳出鱼缸变成鱼干了，卡包也丢了，今天我又受了委屈，晚上还发烧???，哎。万般皆苦，唯有自渡?,-1
01月12日 23:45,佩服我自己，发烧38.5，居然烧得肚子饿了[快哭了]，这比发烧还难受。?,-1
01月12日 23:30,人生的第一次期末考试前，他发烧了。?,-1
01月12日 20:10,发烧第三天，以为退烧了，晚上又不舒服了同事说想隔离我??一烧就没耐性对什么都没兴趣还各种口出狂言，所以我想快点病好?,-1
01月13日 22:52,第一次生病发烧?感冒咳嗽可怜的小朋友这几天受罪了老母亲的心碎了?,-1
01月13日 23:39,与小学生的日常小对话：??老师，你很凶??老师对你们凶是为你们好~??老师，你能不能温柔点教我做作业??可以啊，只有你们听话就好~??老师，你今天戴眼镜了，好丑??好吧~我原谅你（童言无忌）????老师，我今天发烧了，你对我好点（一脸委屈巴巴的样子）?展开全文c,0
01月13日 23:50,No.7跑步-672K老张发烧了今晚好忙碌刚都弄好好累呀?,-1
01月14日 16:07,感冒发烧不想吃药打针那就挺着别说难受?,-1
01月14日 23:52,嗓子疼头疼还发烧还带着伤我觉得这个寒假是来渡劫的?,-1
01月15日 23:26,大瘦再和我追了十集《锦衣之下》后，睡着了，在孩子发烧的晚上我总是会睡不着觉，好像要守着他们一样，某人十一点打来电话询问病情，汇报了病情挂电话，多一句都不想问。这次出差，我完全没有关心的想法，我自洽还来不及呢。2兰州?,-1
01月15日 22:53,享享发烧???崩溃?,-1
01月16日 22:35,事实证明人在发烧时表现出来的才是最真实的自己。?,0
01月18日 15:21,其在拍照的r候我有c小l我@真的是燃??生命、用??l?,1
01月19日 21:30,发烧???~~~O绿洲?,0
01月20日 21:16,截至1月20日，在深圳、北京等多地也出现了新型冠状病毒感染病例，武汉也在人流密集的地方开始了严格的体温筛查。如何预防感染？如果出现咳嗽、发烧这些疑似肺炎的呼吸道症状，就医过程中要注意些什么？O扩散丨一图看懂“新型肺炎”防治手册！?,0
01月21日 17:23,//@央视网:【呼吁！现在能不到武汉去就不去】钟南山院士建议，如果感觉身体不舒服，就不要春运出行了，尤其是身体发烧，尤其是身在武汉。假如说发烧还要出行回老家的话，相关部门检测到后，应该依法依规要求他们不要出去。这是要提高防范级别，而不是单纯的劝阻。#专家建议武汉现在能不去就别去#,0
01月21日 21:21,预祝香港人心想事成！//@香水的颜色945:那就祝他们心想事成吧//@看看而已不说话啦:香港完全不值得信任。//@蝌某人:逻辑不一样，国内基本上初筛确定才是疑似，HK是咳嗽发烧来自湖北都是疑似。现在网友说HK做法对，大陆垃圾。要是大陆按HK的逻辑，100%恐慌，然后还是大陆垃圾。,-1
02月04日 13:05,#饶毅#?,0
02月04日 20:23,为饶毅点赞，中国需要您这样发声的人！,1
02月05日 13:47,饶毅教授??掰,0
01月23日 15:34,武汉给市民朋友的一封信武汉一女子低烧咳嗽，春节档电影全部撤档利用退烧药降温后成功到达法国。出入境检查只量体温，而且是用红外摄像头测的，存在一定误差。这名女子为了跟闺蜜旅行，不主动申报自己的病情，靠吃药降温通过了检查，成功与闺蜜在法国“胜利会师”。发烧感冒并不一定是肺?,0
01月23日 23:53,微博武汉肺炎看多了本来经常喉咙发炎引起发烧的我已经开始心慌慌2020愿全世界的人都健健康康2遂宁·射洪县?,-1
